Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
LIHC,"('Protein', 'MicroRNA', 'Methylation')",DSS,2,43,15,7,16
STAD,"('Protein', 'MicroRNA', 'Methylation')",DSS,1,122,14,41,10
STAD,"('Protein', 'MicroRNA', 'Methylation')",DSS,2,53,33,10,12
STES,"('Protein', 'MicroRNA', 'Methylation')",DSS,1,163,20,74,13
STES,"('Protein', 'MicroRNA', 'Methylation')",DSS,2,73,43,12,15
PanGI,"('Protein', 'MicroRNA', 'Methylation')",DSS,1,335,31,85,14
PanGI,"('Protein', 'MicroRNA', 'Methylation')",DSS,2,177,57,13,16
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",DSS,1,573,77,75,5
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",DSS,2,341,149,15,9
BLCA,"('Protein', 'MicroRNA', 'Methylation')",PFI,1,152,71,21,7
BLCA,"('Protein', 'MicroRNA', 'Methylation')",PFI,2,72,104,6,8
BRCA,"('Protein', 'MicroRNA', 'Methylation')",PFI,3,248,48,6,5
BRCA,"('Protein', 'MicroRNA', 'Methylation')",PFI,4,183,57,5,5
ESCA,"('Protein', 'MicroRNA', 'Methylation')",PFI,1,36,14,18,18
LIHC,"('Protein', 'MicroRNA', 'Methylation')",PFI,1,49,33,14,25
LIHC,"('Protein', 'MicroRNA', 'Methylation')",PFI,2,21,52,5,24
STAD,"('Protein', 'MicroRNA', 'Methylation')",PFI,1,111,32,35,15
STAD,"('Protein', 'MicroRNA', 'Methylation')",PFI,2,45,56,9,17
STES,"('Protein', 'MicroRNA', 'Methylation')",PFI,1,147,46,53,33
STES,"('Protein', 'MicroRNA', 'Methylation')",PFI,2,64,76,9,37
PanGI,"('Protein', 'MicroRNA', 'Methylation')",PFI,1,320,73,63,35
PanGI,"('Protein', 'MicroRNA', 'Methylation')",PFI,2,161,122,10,39
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",PFI,2,278,236,18,10
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",PFI,3,169,281,11,11
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",PFI,4,120,294,8,12
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",PFI,5,77,304,8,12
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",PFI,1,537,161,51,30
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",PFI,2,310,246,9,37
BLCA,"('Protein', 'MicroRNA', 'Methylation')",DFI,2,47,10,6,5
LIHC,"('Protein', 'MicroRNA', 'Methylation')",DFI,1,41,26,15,19
LIHC,"('Protein', 'MicroRNA', 'Methylation')",DFI,2,22,38,6,18
STAD,"('Protein', 'MicroRNA', 'Methylation')",DFI,1,90,8,30,13
STAD,"('Protein', 'MicroRNA', 'Methylation')",DFI,2,42,20,7,13
STES,"('Protein', 'MicroRNA', 'Methylation')",DFI,1,109,8,46,30
STES,"('Protein', 'MicroRNA', 'Methylation')",DFI,2,52,21,7,31
PanGI,"('Protein', 'MicroRNA', 'Methylation')",DFI,1,166,11,56,31
PanGI,"('Protein', 'MicroRNA', 'Methylation')",DFI,2,94,26,8,32
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",DFI,2,229,110,17,6
